"","PC1","PC2"
"TCGA.KK.A8IH.01A.11R.A36G.07",-3.32992335540456,-0.762968791009457
"TCGA.HI.7171.01A.12R.2118.07",-9.33445404246884,-3.53726700309215
"TCGA.G9.6333.01A.12R.1965.07",1.57777456654917,4.23378724710438
"TCGA.KK.A7AP.01A.12R.A33R.07",-10.6362692110346,-2.78989460783222
"TCGA.EJ.7312.01B.21R.A32O.07",-3.14051321175102,4.04694066634972
"TCGA.XJ.A83F.01A.11R.A352.07",-4.07280090856039,2.87524252358341
"TCGA.CH.5761.01A.11R.1580.07",-5.90338158402692,-0.116983609650683
"TCGA.HC.8265.01A.11R.2263.07",0.357917549018972,2.86776239591484
"TCGA.HC.7077.01A.11R.1965.07",-11.5854164343006,-3.43557810794577
"TCGA.KC.A7F6.01A.11R.A33R.07",2.74063634210971,-2.17524606158767
"TCGA.KK.A8IM.01A.11R.A36G.07",1.78335774747101,-4.80748980359377
"TCGA.XJ.A9DI.01A.11R.A37L.07",11.6328639396089,-4.22362212607905
"TCGA.YL.A8HJ.01A.11R.A36G.07",10.228570888445,-6.01520558024535
"TCGA.QU.A6IM.01A.11R.A31N.07",3.2000758663665,9.76119051852542
"TCGA.HC.8213.01A.11R.A29R.07",-8.61412390829208,-2.24733639998035
"TCGA.CH.5743.01A.21R.1580.07",13.3795590265314,1.20765635084502
"TCGA.HC.7736.01A.11R.2118.07",2.94369719933359,-2.22528028378616
"TCGA.XK.AAJA.01A.11R.A41O.07",-4.81666459263921,4.65302628616622
"TCGA.J4.A67M.01A.11R.A30B.07",8.97031314677495,0.401374578716762
"TCGA.HC.8258.01A.11R.2263.07",2.99467556267331,5.24322589117934
"TCGA.HC.7819.01A.11R.2118.07",-12.1738585865364,-3.85995473491838
"TCGA.EJ.A6RC.01A.11R.A32O.07",10.0329578817099,-1.37194561177606
"TCGA.J4.A6G1.01A.11R.A311.07",10.7299525307331,-3.13959015575726
"TCGA.EJ.A7NJ.01A.22R.A352.07",1.91768930576864,0.455491796157614
"TCGA.EJ.5503.01A.01R.1580.07",9.24732474386836,4.61771377089212
"TCGA.EJ.A8FS.01A.11R.A352.07",-8.83307192522746,5.263191407854
"TCGA.EJ.7125.01A.11R.1965.07",-1.42003169338072,-1.11562002435591
"TCGA.G9.6385.01A.11R.1789.07",5.36123390096837,1.8651763488297
"TCGA.HC.A632.01A.11R.A29R.07",2.37955103254493,-7.69644735836637
"TCGA.V1.A9OH.01A.11R.A41O.07",0.804990478931089,-2.23080154458318
"TCGA.HC.A8D1.01A.11R.A36G.07",4.43381163472043,-4.35987953718156
"TCGA.HC.8262.01A.11R.2263.07",-3.76350418193728,-1.78029368350412
"TCGA.KC.A7F3.01A.21R.A33R.07",2.54548198664047,2.36866014784023
"TCGA.KK.A7AQ.01A.11R.A33R.07",-1.37957491822333,13.7450384915452
"TCGA.G9.6351.01A.21R.1965.07",-0.55640999518004,-0.516464185791361
"TCGA.YL.A8SI.01A.11R.A41O.07",6.1369276730619,2.46014792918431
"TCGA.CH.5740.01A.11R.1580.07",-4.64016098895973,1.08324107788893
"TCGA.YL.A8S8.01A.11R.A37L.07",0.843733806529334,1.54194400621349
"TCGA.EJ.A8FU.01A.11R.A36G.07",9.75887885565391,-1.86305970719623
"TCGA.VP.A876.01A.11R.A352.07",-10.0013470263542,-8.10244165616743
"TCGA.XJ.A83H.01A.11R.A352.07",0.76145827343664,0.727071564097626
