"","x"
"1","ENSG00000000003"
"2","ENSG00000000419"
"3","ENSG00000000457"
"4","ENSG00000000971"
"5","ENSG00000001036"
"6","ENSG00000001084"
"7","ENSG00000001167"
"8","ENSG00000001460"
"9","ENSG00000001461"
"10","ENSG00000001497"
"11","ENSG00000001561"
"12","ENSG00000001617"
"13","ENSG00000001629"
"14","ENSG00000001631"
"15","ENSG00000002016"
"16","ENSG00000002330"
"17","ENSG00000002549"
"18","ENSG00000002586"
"19","ENSG00000002587"
"20","ENSG00000002822"
"21","ENSG00000002834"
"22","ENSG00000002919"
"23","ENSG00000003056"
"24","ENSG00000003147"
"25","ENSG00000003249"
"26","ENSG00000003393"
"27","ENSG00000003402"
"28","ENSG00000003436"
"29","ENSG00000003509"
"30","ENSG00000003756"
"31","ENSG00000003989"
"32","ENSG00000004059"
"33","ENSG00000004139"
"34","ENSG00000004142"
"35","ENSG00000004399"
"36","ENSG00000004455"
"37","ENSG00000004478"
"38","ENSG00000004487"
"39","ENSG00000004534"
"40","ENSG00000004660"
"41","ENSG00000004700"
"42","ENSG00000004766"
"43","ENSG00000004776"
"44","ENSG00000004777"
"45","ENSG00000004779"
"46","ENSG00000004799"
"47","ENSG00000004864"
"48","ENSG00000004866"
"49","ENSG00000004897"
"50","ENSG00000004961"
"51","ENSG00000004975"
"52","ENSG00000005001"
"53","ENSG00000005007"
"54","ENSG00000005020"
"55","ENSG00000005022"
"56","ENSG00000005073"
"57","ENSG00000005075"
"58","ENSG00000005100"
"59","ENSG00000005108"
"60","ENSG00000005156"
"61","ENSG00000005175"
"62","ENSG00000005187"
"63","ENSG00000005189"
"64","ENSG00000005194"
"65","ENSG00000005206"
"66","ENSG00000005238"
"67","ENSG00000005243"
"68","ENSG00000005249"
"69","ENSG00000005302"
"70","ENSG00000005339"
"71","ENSG00000005379"
"72","ENSG00000005436"
"73","ENSG00000005448"
"74","ENSG00000005469"
"75","ENSG00000005483"
"76","ENSG00000005486"
"77","ENSG00000005700"
"78","ENSG00000005801"
"79","ENSG00000005810"
"80","ENSG00000005812"
"81","ENSG00000005882"
"82","ENSG00000005884"
"83","ENSG00000005889"
"84","ENSG00000005893"
"85","ENSG00000006007"
"86","ENSG00000006015"
"87","ENSG00000006025"
"88","ENSG00000006042"
"89","ENSG00000006062"
"90","ENSG00000006118"
"91","ENSG00000006125"
"92","ENSG00000006194"
"93","ENSG00000006210"
"94","ENSG00000006282"
"95","ENSG00000006327"
"96","ENSG00000006432"
"97","ENSG00000006451"
"98","ENSG00000006453"
"99","ENSG00000006459"
"100","ENSG00000006468"
"101","ENSG00000006530"
"102","ENSG00000006576"
"103","ENSG00000006607"
"104","ENSG00000006625"
"105","ENSG00000006634"
"106","ENSG00000006652"
"107","ENSG00000006695"
"108","ENSG00000006704"
"109","ENSG00000006712"
"110","ENSG00000006715"
"111","ENSG00000006740"
"112","ENSG00000006744"
"113","ENSG00000006756"
"114","ENSG00000006757"
"115","ENSG00000006831"
"116","ENSG00000007047"
"117","ENSG00000007080"
"118","ENSG00000007168"
"119","ENSG00000007202"
"120","ENSG00000007237"
"121","ENSG00000007255"
"122","ENSG00000007341"
"123","ENSG00000007376"
"124","ENSG00000007384"
"125","ENSG00000007392"
"126","ENSG00000007402"
"127","ENSG00000007516"
"128","ENSG00000007520"
"129","ENSG00000007541"
"130","ENSG00000007545"
"131","ENSG00000007866"
"132","ENSG00000007923"
"133","ENSG00000007944"
"134","ENSG00000008018"
"135","ENSG00000008083"
"136","ENSG00000008086"
"137","ENSG00000008128"
"138","ENSG00000008130"
"139","ENSG00000008256"
"140","ENSG00000008277"
"141","ENSG00000008282"
"142","ENSG00000008283"
"143","ENSG00000008294"
"144","ENSG00000008311"
"145","ENSG00000008324"
"146","ENSG00000008382"
"147","ENSG00000008394"
"148","ENSG00000008405"
"149","ENSG00000008441"
"150","ENSG00000008513"
"151","ENSG00000008517"
"152","ENSG00000008710"
"153","ENSG00000008735"
"154","ENSG00000008838"
"155","ENSG00000008853"
"156","ENSG00000008869"
"157","ENSG00000008952"
"158","ENSG00000008988"
"159","ENSG00000009307"
"160","ENSG00000009335"
"161","ENSG00000009413"
"162","ENSG00000009780"
"163","ENSG00000009830"
"164","ENSG00000009844"
"165","ENSG00000009954"
"166","ENSG00000010017"
"167","ENSG00000010072"
