"","PC1","PC2"
"TCGA.KK.A8IH.01A.11R.A36G.07",195.544812344603,-121.944042188718
"TCGA.HI.7171.01A.12R.2118.07",523.620339479158,-115.039245082589
"TCGA.G9.6333.01A.12R.1965.07",607.670774030517,104.045521736087
"TCGA.KK.A7AP.01A.12R.A33R.07",-47.4055403008256,-213.868240518896
"TCGA.EJ.7312.01B.21R.A32O.07",-252.731528005832,5.32788523047074
"TCGA.XJ.A83F.01A.11R.A352.07",-595.363750890169,77.2919673062459
"TCGA.CH.5761.01A.11R.1580.07",1447.63736119424,-133.165715889094
"TCGA.HC.8265.01A.11R.2263.07",22.8875713331558,0.794042161274774
"TCGA.HC.7077.01A.11R.1965.07",859.809823477719,-183.532815166804
"TCGA.KC.A7F6.01A.11R.A33R.07",-15.9037419225975,-24.2570786330272
"TCGA.KK.A8IM.01A.11R.A36G.07",655.489316088231,-55.4074899468
"TCGA.XJ.A9DI.01A.11R.A37L.07",136.1180864316,20.4114808340447
"TCGA.YL.A8HJ.01A.11R.A36G.07",264.932387602541,387.362813874611
"TCGA.QU.A6IM.01A.11R.A31N.07",-3736.53657199293,-16.7001614344548
"TCGA.HC.8213.01A.11R.A29R.07",-418.437953050193,-230.61587805986
"TCGA.CH.5743.01A.21R.1580.07",443.086037142131,72.5446960898256
"TCGA.HC.7736.01A.11R.2118.07",901.288377640714,-17.7394061503161
"TCGA.XK.AAJA.01A.11R.A41O.07",965.421014862216,-33.6631298892466
"TCGA.J4.A67M.01A.11R.A30B.07",-1390.44511486917,-17.5108093174072
"TCGA.HC.8258.01A.11R.2263.07",411.098488433396,-10.2393073211186
"TCGA.HC.7819.01A.11R.2118.07",661.779531650436,-129.92993510911
"TCGA.EJ.A6RC.01A.11R.A32O.07",53.6001656615719,255.508062609623
"TCGA.J4.A6G1.01A.11R.A311.07",38.1331018267446,-9.34392723913813
"TCGA.EJ.A7NJ.01A.22R.A352.07",771.289493311997,20.6806392845479
"TCGA.EJ.5503.01A.01R.1580.07",785.444453815984,140.33000215704
"TCGA.EJ.A8FS.01A.11R.A352.07",281.508636187558,-120.128322676443
"TCGA.EJ.7125.01A.11R.1965.07",606.284393991076,-10.2224288141776
